lcdc,lon,lat
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.375,-119.795,38.9581
0.0,-120.223,39.19109
1.25,-119.8581,39.24089
0.25,-120.2885,39.4738
20.625,-119.9218,39.5239
10.875,-120.4549,38.57567
2.125,-120.094,38.62627
11.5,-120.5208,38.8577
3.125,-120.1582,38.90858
1.5,-119.795,38.9581
5.625,-120.223,39.19109
7.75,-119.8581,39.24089
4.0,-120.2885,39.4738
20.75,-119.9218,39.5239
86.5,-120.4549,38.57567
33.875,-120.094,38.62627
94.0,-120.5208,38.8577
39.0,-120.1582,38.90858
47.375,-119.795,38.9581
53.25,-120.223,39.19109
66.875,-119.8581,39.24089
36.75,-120.2885,39.4738
38.75,-119.9218,39.5239
62.75,-120.4549,38.57567
13.125,-120.094,38.62627
63.625,-120.5208,38.8577
19.25,-120.1582,38.90858
35.625,-119.795,38.9581
34.5,-120.223,39.19109
51.25,-119.8581,39.24089
20.0,-120.2885,39.4738
40.25,-119.9218,39.5239
81.875,-120.4549,38.57567
29.0,-120.094,38.62627
80.625,-120.5208,38.8577
34.375,-120.1582,38.90858
63.375,-119.795,38.9581
42.25,-120.223,39.19109
68.25,-119.8581,39.24089
24.75,-120.2885,39.4738
39.0,-119.9218,39.5239
57.0,-120.4549,38.57567
10.625,-120.094,38.62627
54.5,-120.5208,38.8577
25.125,-120.1582,38.90858
16.0,-119.795,38.9581
24.375,-120.223,39.19109
16.625,-119.8581,39.24089
12.25,-120.2885,39.4738
8.25,-119.9218,39.5239
94.125,-120.4549,38.57567
30.0,-120.094,38.62627
99.625,-120.5208,38.8577
83.75,-120.1582,38.90858
70.125,-119.795,38.9581
80.375,-120.223,39.19109
76.75,-119.8581,39.24089
62.0,-120.2885,39.4738
63.5,-119.9218,39.5239
94.0,-120.4549,38.57567
40.625,-120.094,38.62627
97.375,-120.5208,38.8577
96.375,-120.1582,38.90858
98.75,-119.795,38.9581
93.375,-120.223,39.19109
98.75,-119.8581,39.24089
85.625,-120.2885,39.4738
88.625,-119.9218,39.5239
45.125,-120.4549,38.57567
7.375,-120.094,38.62627
43.375,-120.5208,38.8577
26.25,-120.1582,38.90858
15.875,-119.795,38.9581
24.125,-120.223,39.19109
20.0,-119.8581,39.24089
14.0,-120.2885,39.4738
23.875,-119.9218,39.5239
44.875,-120.4549,38.57567
10.875,-120.094,38.62627
48.625,-120.5208,38.8577
24.25,-120.1582,38.90858
28.375,-119.795,38.9581
22.125,-120.223,39.19109
25.125,-119.8581,39.24089
8.25,-120.2885,39.4738
12.375,-119.9218,39.5239
50.25,-120.4549,38.57567
9.625,-120.094,38.62627
58.875,-120.5208,38.8577
29.125,-120.1582,38.90858
21.25,-119.795,38.9581
38.75,-120.223,39.19109
30.625,-119.8581,39.24089
38.375,-120.2885,39.4738
37.125,-119.9218,39.5239
35.625,-120.4549,38.57567
4.25,-120.094,38.62627
35.75,-120.5208,38.8577
6.5,-120.1582,38.90858
0.125,-119.795,38.9581
7.5,-120.223,39.19109
0.0,-119.8581,39.24089
4.0,-120.2885,39.4738
0.125,-119.9218,39.5239
85.0,-120.4549,38.57567
19.625,-120.094,38.62627
93.5,-120.5208,38.8577
59.25,-120.1582,38.90858
28.875,-119.795,38.9581
58.75,-120.223,39.19109
32.25,-119.8581,39.24089
43.375,-120.2885,39.4738
24.5,-119.9218,39.5239
77.875,-120.4549,38.57567
29.5,-120.094,38.62627
88.875,-120.5208,38.8577
80.5,-120.1582,38.90858
73.5,-119.795,38.9581
81.75,-120.223,39.19109
85.375,-119.8581,39.24089
71.0,-120.2885,39.4738
78.625,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
66.25,-120.4549,38.57567
14.125,-120.094,38.62627
72.75,-120.5208,38.8577
33.375,-120.1582,38.90858
24.875,-119.795,38.9581
40.125,-120.223,39.19109
28.625,-119.8581,39.24089
40.25,-120.2885,39.4738
29.25,-119.9218,39.5239
79.375,-120.4549,38.57567
18.5,-120.094,38.62627
89.25,-120.5208,38.8577
61.375,-120.1582,38.90858
36.375,-119.795,38.9581
63.5,-120.223,39.19109
47.125,-119.8581,39.24089
53.25,-120.2885,39.4738
41.375,-119.9218,39.5239
44.75,-120.4549,38.57567
11.875,-120.094,38.62627
58.125,-120.5208,38.8577
40.0,-120.1582,38.90858
27.5,-119.795,38.9581
42.875,-120.223,39.19109
28.875,-119.8581,39.24089
40.25,-120.2885,39.4738
31.625,-119.9218,39.5239
68.0,-120.4549,38.57567
18.125,-120.094,38.62627
77.25,-120.5208,38.8577
62.875,-120.1582,38.90858
52.75,-119.795,38.9581
61.0,-120.223,39.19109
57.875,-119.8581,39.24089
57.125,-120.2885,39.4738
58.125,-119.9218,39.5239
43.0,-120.4549,38.57567
12.75,-120.094,38.62627
54.25,-120.5208,38.8577
28.5,-120.1582,38.90858
36.375,-119.795,38.9581
30.25,-120.223,39.19109
36.25,-119.8581,39.24089
22.25,-120.2885,39.4738
33.625,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
1.125,-120.4549,38.57567
0.375,-120.094,38.62627
1.75,-120.5208,38.8577
0.5,-120.1582,38.90858
0.0,-119.795,38.9581
0.75,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
52.75,-120.4549,38.57567
10.125,-120.094,38.62627
54.75,-120.5208,38.8577
19.25,-120.1582,38.90858
8.25,-119.795,38.9581
22.0,-120.223,39.19109
9.125,-119.8581,39.24089
14.125,-120.2885,39.4738
10.75,-119.9218,39.5239
49.375,-120.4549,38.57567
9.25,-120.094,38.62627
59.5,-120.5208,38.8577
14.5,-120.1582,38.90858
1.0,-119.795,38.9581
17.125,-120.223,39.19109
3.875,-119.8581,39.24089
8.125,-120.2885,39.4738
10.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
31.875,-120.4549,38.57567
6.125,-120.094,38.62627
32.75,-120.5208,38.8577
8.75,-120.1582,38.90858
8.375,-119.795,38.9581
12.25,-120.223,39.19109
13.0,-119.8581,39.24089
7.375,-120.2885,39.4738
8.375,-119.9218,39.5239
58.0,-120.4549,38.57567
19.875,-120.094,38.62627
65.375,-120.5208,38.8577
45.5,-120.1582,38.90858
78.375,-119.795,38.9581
51.125,-120.223,39.19109
88.875,-119.8581,39.24089
24.875,-120.2885,39.4738
64.25,-119.9218,39.5239
32.375,-120.4549,38.57567
7.5,-120.094,38.62627
35.125,-120.5208,38.8577
10.75,-120.1582,38.90858
